session_name,session_id,query_number,query_text,query_length_chars,query_length_words,timestamp,event_id,invocation_id,response_time_seconds,has_response_time,response_time_category,rag_queries_triggered,rag_success,rag_quality,rag_response_total_length,is_urgent,urgency_score,urgency_level,escalation_risk,urgency_patterns_detected,urgency_keywords,sentiment_negative_keywords,sentiment_urgency_keywords,sentiment_escalation_keywords,consistent_with_sentiment_analyzer,has_customer_id,customer_ids,has_contextual_reference,query_type
session 01 eficiencia operativa-a92f0dbe-9c76-4364-86ab-a00423e05604.json,a92f0dbe-9c76-4364-86ab-a00423e05604,11,problema balanceador carga alta disponibilidad,46,5,2025-08-18 23:44:46.267718077,f2c44105-449c-49fd-8d9e-e1bd566f1844,e-200482be-f162-42ac-b619-d1d4a38e940d,9.924998998641968,True,slow,1,True,good,449,True,1,normal,low,1,,1,0,0,False,False,,False,initial_anonymous
session 01 eficiencia operativa-a92f0dbe-9c76-4364-86ab-a00423e05604.json,a92f0dbe-9c76-4364-86ab-a00423e05604,12,fallo sincronización réplica maestro esclavo,44,5,2025-08-18 23:45:56.909353971,63cad5e0-1145-40a6-bc93-5781c6d6db69,e-db1f8e1b-6df6-4e5f-901d-2c6e71505d85,8.907396078109741,True,slow,1,True,good,449,True,3,high,low,1,,0,0,0,True,False,,False,initial_anonymous
session 01 eficiencia operativa-a92f0dbe-9c76-4364-86ab-a00423e05604.json,a92f0dbe-9c76-4364-86ab-a00423e05604,13,error configuración firewall puerto bloqueado,45,5,2025-08-18 23:47:03.994476080,7f138e63-f77e-4f71-bc7a-39df70ed6b6f,e-19e56af6-9550-483a-aedf-d06ff962f996,8.63608980178833,True,slow,1,True,good,449,True,1,normal,low,1,,1,0,0,False,False,,False,initial_anonymous
session 01 eficiencia operativa-a92f0dbe-9c76-4364-86ab-a00423e05604.json,a92f0dbe-9c76-4364-86ab-a00423e05604,14,problema cache redis sesiones usuario,37,5,2025-08-18 23:47:56.555177927,ce93d15b-9075-48f9-89e6-d3e5fd3fddaa,e-5799486b-4f08-4571-8a06-5a19e9c4c891,11.079773187637329,True,slow,1,True,good,449,True,1,normal,low,1,,1,0,0,False,False,,False,initial_anonymous
session 01 eficiencia operativa-a92f0dbe-9c76-4364-86ab-a00423e05604.json,a92f0dbe-9c76-4364-86ab-a00423e05604,15,error backup incremental base datos,35,5,2025-08-18 23:49:37.935287952,a9115c67-1a65-4b8a-b542-30118792067f,e-548ea02e-78cf-4e68-bc08-62e4a9510b2c,9.817501068115234,True,slow,1,True,good,449,True,1,normal,low,1,,1,0,0,False,False,,False,initial_anonymous
session 02 contexto-679d54c7-81ab-482a-93e4-99a49da29b62.json,679d54c7-81ab-482a-93e4-99a49da29b62,1,Cliente CUST_001 reporta error crítico sistema facturación,58,7,2025-08-19 00:00:37.997670889,6de7ef0a-ca8c-4d6a-836a-8144939d6c05,e-ff1eaf84-f0b7-48ae-bc07-4d24838676d2,7.201975107192993,True,slow,1,True,good,449,True,6,high,medium,3,crítico,1,1,0,True,True,CUST_001,False,initial_with_id
session 02 contexto-679d54c7-81ab-482a-93e4-99a49da29b62.json,679d54c7-81ab-482a-93e4-99a49da29b62,2,CUST_002 premium necesita soporte urgente base datos,52,7,2025-08-19 00:01:32.359916925,6ddff43a-07c3-4dea-a231-1cab37ffb24a,e-c44a8911-8e84-43a4-96c7-ff1cd578a60a,6.683398962020874,True,slow,1,True,good,449,True,2,medium,low,1,urgente,0,1,0,True,True,CUST_002,False,initial_with_id
session 02 contexto-679d54c7-81ab-482a-93e4-99a49da29b62.json,679d54c7-81ab-482a-93e4-99a49da29b62,3,Cliente CUST_003 gold tier problema autenticación,49,6,2025-08-19 00:02:43.390836954,78a98f7c-7c48-4f01-9856-864cf8f72a68,e-af2d1ede-6567-47b6-89ef-3d3dc89c50e9,8.580271005630493,True,slow,1,True,good,449,True,1,normal,low,1,,1,0,0,False,True,CUST_003,False,initial_with_id
session 02 contexto-679d54c7-81ab-482a-93e4-99a49da29b62.json,679d54c7-81ab-482a-93e4-99a49da29b62,4,CUST_004 basic plan error conexión aplicación,45,6,2025-08-19 00:05:27.248219967,af3ec1e7-c0be-4efd-8e1e-92b721900759,e-09b40099-1f7b-4aff-8c40-c3a86ae073ed,6.697071075439453,True,slow,1,True,good,449,True,1,normal,low,1,,1,0,0,False,True,CUST_004,False,initial_with_id
session 02 contexto-679d54c7-81ab-482a-93e4-99a49da29b62.json,679d54c7-81ab-482a-93e4-99a49da29b62,5,Soy CUST_005 tengo problema crítico servidor,44,6,2025-08-19 00:06:37.394280910,a42c1dee-8327-40cf-b8da-4122e153dd1a,e-a41fc5a7-a833-4a4f-9818-4c1f693011dd,6.6076531410217285,True,slow,1,True,good,449,True,3,medium,low,2,crítico,1,1,0,True,True,CUST_005,False,initial_with_id
session 02 contexto-679d54c7-81ab-482a-93e4-99a49da29b62.json,679d54c7-81ab-482a-93e4-99a49da29b62,6,Cliente CUST_001 VIP reporta fallo total sistema,48,7,2025-08-19 00:07:32.827470064,a82ab866-5fad-491f-954b-ed4be08356e2,e-89e85434-3817-4486-9efd-638c1e807c1e,7.765048980712891,True,slow,1,True,good,449,True,3,high,low,1,,0,0,0,True,True,CUST_001,False,initial_with_id
session 02 contexto-679d54c7-81ab-482a-93e4-99a49da29b62.json,679d54c7-81ab-482a-93e4-99a49da29b62,7,CUST_007 empresa grande problema escalabilidad,46,5,2025-08-19 00:08:37.098459959,eefb8c65-a198-43be-8bac-6dc62d9cdf4d,e-a8a682ed-c2dc-4e8c-9daa-ad5fd62f5cc0,7.010955095291138,True,slow,1,True,good,449,True,1,normal,low,1,,1,0,0,False,True,CUST_007,False,initial_with_id
session 02 contexto-679d54c7-81ab-482a-93e4-99a49da29b62.json,679d54c7-81ab-482a-93e4-99a49da29b62,8,CUST_002 empresa grande problema escalabilidad,46,5,2025-08-19 00:10:06.065649985,f824f654-3fa0-4e1f-a995-23d6d02d62a1,e-ecf8ea3f-856f-4c24-9e6a-d8c04c603fee,7.14537501335144,True,slow,1,True,good,449,True,1,normal,low,1,,1,0,0,False,True,CUST_002,False,initial_with_id
session 02 contexto-679d54c7-81ab-482a-93e4-99a49da29b62.json,679d54c7-81ab-482a-93e4-99a49da29b62,9,Cliente CUST_008 startup error configuración,44,5,2025-08-19 00:11:29.815186977,1c45d7bc-fc16-4b4c-8d99-d24dbed7c55d,e-9f425113-5b0d-47a3-bbf9-c2a67e2c834b,7.235763072967529,True,slow,1,True,good,449,True,1,normal,low,1,,1,0,0,False,True,CUST_008,False,initial_with_id
session 02 contexto-679d54c7-81ab-482a-93e4-99a49da29b62.json,679d54c7-81ab-482a-93e4-99a49da29b62,10,CUST_009 multinacional problema integración,43,4,2025-08-19 00:13:19.470567942,9a48ec60-814f-44f1-a898-65c9274ae06a,e-dcc860e9-698d-4fb9-a843-e284b5152724,7.936691045761108,True,slow,1,True,good,449,True,1,normal,low,1,,1,0,0,False,True,CUST_009,False,initial_with_id
session 02 contexto-679d54c7-81ab-482a-93e4-99a49da29b62.json,679d54c7-81ab-482a-93e4-99a49da29b62,11,Soy CUST_02 necesito ayuda urgente sistema,42,6,2025-08-19 00:15:37.092005014,3c982e2d-aee0-4c23-a00b-c52f36fc635c,e-e4b72394-59ae-4615-9d51-05b4a8d8b706,7.691433906555176,True,slow,1,True,good,449,True,2,medium,low,1,urgente,0,1,0,True,False,,False,initial_anonymous
session 03 escalamiento-e3040610-5096-489e-92ae-1835e80811da.json,e3040610-5096-489e-92ae-1835e80811da,1,¡URGENTE! Servidor de producción caído hace 30 minutos,54,8,2025-08-19 00:24:21.846543074,fb8b759d-21a6-46ab-8784-bbb2fbd5326c,e-73aae5be-f2db-4477-9ce6-aba6ff267843,16.835615873336792,True,slow,1,True,good,449,True,10,high,medium,4,"urgente, ¡urgente!",0,2,0,True,False,,False,initial_anonymous
session 03 escalamiento-e3040610-5096-489e-92ae-1835e80811da.json,e3040610-5096-489e-92ae-1835e80811da,2,CRÍTICO: Sistema facturación no funciona afectando ventas,57,7,2025-08-19 00:25:18.780142069,14681660-1005-4edf-8f93-c9460cc4c0d6,e-566bf949-f705-46ff-8601-7d43444f7c52,7.713825941085815,True,slow,1,True,good,449,True,5,high,medium,2,crítico,0,1,0,True,False,,False,initial_anonymous
session 03 escalamiento-e3040610-5096-489e-92ae-1835e80811da.json,e3040610-5096-489e-92ae-1835e80811da,3,EMERGENCIA: Base datos principal corrupta necesito ayuda YA,59,8,2025-08-19 00:26:10.730308056,079289a4-0522-4487-8a55-f3aa27174212,e-0d6d6f8e-6ec0-4ba1-af6c-24646d9da80d,7.225121974945068,True,slow,1,True,good,449,True,7,high,medium,3,"ya, emergencia",0,2,0,True,False,,False,initial_anonymous
session 03 escalamiento-e3040610-5096-489e-92ae-1835e80811da.json,e3040610-5096-489e-92ae-1835e80811da,4,URGENTE: Todos los usuarios reportan error 500 aplicación,57,8,2025-08-19 00:27:09.229186058,bc97e58c-7256-475a-aeff-5f3cd62521c6,e-2b705c71-a448-4981-bd5c-6b079f180422,7.991480827331543,True,slow,1,True,good,449,True,3,medium,low,2,urgente,1,1,0,True,False,,False,initial_anonymous
session 03 escalamiento-e3040610-5096-489e-92ae-1835e80811da.json,e3040610-5096-489e-92ae-1835e80811da,5,CRÍTICO: Backup falló anoche sistema vulnerable,47,6,2025-08-19 00:28:38.236795902,afd0f1f7-82b5-495f-aac2-2f03d8aba525,e-269655f6-7912-462a-8320-2f573a5bc499,9.514305114746094,True,slow,1,True,good,449,True,2,medium,low,1,crítico,0,1,0,True,False,,False,initial_anonymous
session 03 escalamiento-e3040610-5096-489e-92ae-1835e80811da.json,e3040610-5096-489e-92ae-1835e80811da,6,EMERGENCIA: Ataque seguridad detectado firewall comprometido,60,6,2025-08-19 00:29:56.182384968,34edf754-f99e-47ce-9064-7c5df81e6b76,e-2d6269e9-47fc-4f8e-9d33-15f7658b2fb5,9.432132005691528,True,slow,1,True,good,449,True,2,medium,low,1,emergencia,0,1,0,True,False,,False,initial_anonymous
session 03 escalamiento-e3040610-5096-489e-92ae-1835e80811da.json,e3040610-5096-489e-92ae-1835e80811da,7,URGENTE: API pagos caída perdiendo transacciones,48,6,2025-08-19 00:31:26.003361940,ed3d60f9-400a-4e5d-8651-12f53804bf73,e-0f0e9fbc-5665-4e23-b34e-0fe3c9af6969,8.966367959976196,True,slow,1,True,good,449,True,2,medium,low,1,urgente,0,1,0,True,False,,False,initial_anonymous
session 03 escalamiento-e3040610-5096-489e-92ae-1835e80811da.json,e3040610-5096-489e-92ae-1835e80811da,8,CRÍTICO: Certificados SSL expiran en 2 horas producción,55,8,2025-08-19 00:33:27.260344028,8b878165-f81b-4202-b83a-822751257578,e-269d43ee-db9b-42fd-86b1-e654229b69da,9.857961893081665,True,slow,1,True,good,449,True,2,medium,low,1,crítico,0,1,0,True,False,,False,initial_anonymous
session 03 escalamiento-e3040610-5096-489e-92ae-1835e80811da.json,e3040610-5096-489e-92ae-1835e80811da,9,Consulta sobre configuración parámetros usuario,47,5,2025-08-19 00:35:09.854408026,d224359b-8f0a-437e-9d7b-e254f811ec40,e-36c6450d-9906-4651-8e58-84e4ec755cc7,8.970507860183716,True,slow,1,True,good,449,False,0,normal,low,0,,0,0,0,False,False,,False,initial_anonymous
session 03 escalamiento-e3040610-5096-489e-92ae-1835e80811da.json,e3040610-5096-489e-92ae-1835e80811da,10,Pregunta general funcionamiento módulo reportes,47,5,2025-08-19 00:36:35.242515087,12c6b062-60cc-44c5-828c-dcc28d8902d2,e-fa8d4a29-cb70-49e5-83ec-23d67f29163f,8.529151916503906,True,slow,1,True,good,449,False,0,normal,low,0,,0,0,0,False,False,,False,initial_anonymous
session 03 escalamiento-e3040610-5096-489e-92ae-1835e80811da.json,e3040610-5096-489e-92ae-1835e80811da,11,Solicitud información procedimiento backup,42,4,2025-08-19 00:37:52.639724970,2b02d7c6-bb0b-491d-9fc7-6351f7ee7a0c,e-e005373d-0e80-4d26-99bc-3f92d43df2b5,11.220999956130981,True,slow,1,True,good,449,False,0,normal,low,0,,0,0,0,False,False,,False,initial_anonymous
session 03 escalamiento-e3040610-5096-489e-92ae-1835e80811da.json,e3040610-5096-489e-92ae-1835e80811da,12,Duda configuración perfil administrador,39,4,2025-08-19 00:39:53.049655914,5f3dc5a1-36ad-4620-a205-54cd06120589,e-7e2e1214-0926-42b4-bffa-e0bb879c10e0,12.563708066940308,True,slow,1,True,good,449,False,0,normal,low,0,,0,0,0,False,False,,False,initial_anonymous
session 03 escalamiento-e3040610-5096-489e-92ae-1835e80811da.json,e3040610-5096-489e-92ae-1835e80811da,13,Consulta horarios mantenimiento programado,42,4,2025-08-19 00:40:43.629471064,9c5cd83d-efdf-47d2-a192-f07b0bcdc820,e-e7cfe0f5-594c-4bfd-87f9-a326b6da13d4,11.633347988128662,True,slow,1,True,good,449,False,0,normal,low,0,,0,0,0,False,False,,False,initial_anonymous
session 03 escalamiento-e3040610-5096-489e-92ae-1835e80811da.json,e3040610-5096-489e-92ae-1835e80811da,14,Pregunta sobre capacitación nuevo sistema,41,5,2025-08-19 00:42:17.664644003,4a8e9dd0-d52e-4c42-8ab2-d7bae0eb1558,e-7e1394d5-6475-4d77-a7fd-6b8eec9ef0f0,8.79553508758545,True,slow,1,True,good,449,False,0,normal,low,0,,0,0,0,False,False,,False,initial_anonymous
session 03 escalamiento-e3040610-5096-489e-92ae-1835e80811da.json,e3040610-5096-489e-92ae-1835e80811da,15,Solicitud documentación técnica API,35,4,2025-08-19 00:44:01.716373920,6641e107-42ad-40b3-8791-fc3746054c02,e-a351a4b8-340c-4d64-9971-51e01ee7e94a,8.573568105697632,True,slow,1,True,good,449,False,0,normal,low,0,,0,0,0,False,False,,False,initial_anonymous
session 04 Calidad RAG-476b0c92-1d76-4e51-8478-a2e605df0a90.json,476b0c92-1d76-4e51-8478-a2e605df0a90,1,conexión intermitente base datos,32,4,2025-08-19 00:55:08.482697010,c6234cd1-30c9-4b58-ac0c-7eb31326d7f6,e-c8d19c22-3616-471a-ad8e-0c486de1caed,7.40657901763916,True,slow,1,True,good,449,False,0,normal,low,0,,0,0,0,False,False,,False,initial_anonymous
session 04 Calidad RAG-476b0c92-1d76-4e51-8478-a2e605df0a90.json,476b0c92-1d76-4e51-8478-a2e605df0a90,2,error autenticación certificado digital,39,4,2025-08-19 01:01:13.871136904,24e781c3-bde2-4b92-9c6f-26b56774f972,e-39dd0c7c-53b9-4bce-948b-c6d83b69cd0d,13.629438161849976,True,slow,1,True,good,449,True,1,normal,low,1,,1,0,0,False,False,,False,initial_anonymous
session 04 Calidad RAG-476b0c92-1d76-4e51-8478-a2e605df0a90.json,476b0c92-1d76-4e51-8478-a2e605df0a90,3,problema rendimiento consultas SQL,34,4,2025-08-19 01:02:50.588354111,70c4001e-5811-44cb-b2e3-57e566d90d49,e-6fbccbca-a9fc-4269-89e9-fe1c764db1d1,8.779517889022827,True,slow,1,True,good,449,True,1,normal,low,1,,1,0,0,False,False,,False,initial_anonymous
session 04 Calidad RAG-476b0c92-1d76-4e51-8478-a2e605df0a90.json,476b0c92-1d76-4e51-8478-a2e605df0a90,4,configuración proxy servidor web,32,4,2025-08-19 01:04:14.636066914,76f2a5bb-1415-403b-8a3f-15b17102a1fa,e-af4b5098-7a80-49eb-a287-20db9fa09a9f,9.672373056411743,True,slow,1,True,good,449,False,0,normal,low,0,,0,0,0,False,False,,False,initial_anonymous
session 04 Calidad RAG-476b0c92-1d76-4e51-8478-a2e605df0a90.json,476b0c92-1d76-4e51-8478-a2e605df0a90,5,error memoria insuficiente aplicación,37,4,2025-08-19 01:05:48.599117041,e6388c24-cfaf-493f-83ba-dcf9202b00a3,e-38a27cda-19f2-49d9-bbcd-80de83006081,12.630661010742188,True,slow,1,True,good,449,True,1,normal,low,1,,1,0,0,False,False,,False,initial_anonymous
session 04 Calidad RAG-476b0c92-1d76-4e51-8478-a2e605df0a90.json,476b0c92-1d76-4e51-8478-a2e605df0a90,6,problema sincronización datos réplica,37,4,2025-08-19 01:07:01.959073067,9de0ec42-e02a-4698-9cec-76ae2e6cd2ac,e-fecfc3e1-4a8a-4918-89f5-1336abfe2d59,12.542346000671387,True,slow,1,True,good,449,True,1,normal,low,1,,1,0,0,False,False,,False,initial_anonymous
session 04 Calidad RAG-476b0c92-1d76-4e51-8478-a2e605df0a90.json,476b0c92-1d76-4e51-8478-a2e605df0a90,7,configuración balanceador carga,31,3,2025-08-19 01:08:28.317899942,91972905-ddde-4113-a458-8d6679d7154a,e-a1b83699-a3ca-41f4-a2b2-1f782a344fe8,11.990267038345337,True,slow,1,True,good,449,False,0,normal,low,0,,0,0,0,False,False,,False,initial_anonymous
session 04 Calidad RAG-476b0c92-1d76-4e51-8478-a2e605df0a90.json,476b0c92-1d76-4e51-8478-a2e605df0a90,8,error timeout conexión red,26,4,2025-08-19 01:10:09.897916079,3265dc26-355a-426b-bde5-bd1890d298be,e-961e0cca-c809-49cb-84b7-6947fea7e2fe,11.29639482498169,True,slow,1,True,good,449,True,4,high,medium,2,,1,0,0,True,False,,False,initial_anonymous
session 04 Calidad RAG-476b0c92-1d76-4e51-8478-a2e605df0a90.json,476b0c92-1d76-4e51-8478-a2e605df0a90,9,problema permisos acceso archivo,32,4,2025-08-19 01:12:07.217917919,bf64a3f1-3f47-4921-9e0d-390648f58356,e-7e34b7e6-8837-4776-a45d-d85f78051cfa,10.689059019088745,True,slow,1,True,good,449,True,1,normal,low,1,,1,0,0,False,False,,False,initial_anonymous
session 04 Calidad RAG-476b0c92-1d76-4e51-8478-a2e605df0a90.json,476b0c92-1d76-4e51-8478-a2e605df0a90,10,configuración SSL certificado,29,3,2025-08-19 01:13:14.203624010,1c4c3b3e-2c94-48a2-861c-a2c6841b33a4,e-6206eac1-c1b6-4d95-814f-67f18d19c6bd,10.296719074249268,True,slow,1,True,good,449,False,0,normal,low,0,,0,0,0,False,False,,False,initial_anonymous
session 04 Calidad RAG-476b0c92-1d76-4e51-8478-a2e605df0a90.json,476b0c92-1d76-4e51-8478-a2e605df0a90,11,error backup restauración datos,31,4,2025-08-19 01:14:38.296020031,45c6c72b-a917-4534-a598-1487226e66d1,e-363c0669-f717-4131-850b-0e83e09c3060,9.903217077255249,True,slow,1,True,good,449,True,1,normal,low,1,,1,0,0,False,False,,False,initial_anonymous
session 04 Calidad RAG-476b0c92-1d76-4e51-8478-a2e605df0a90.json,476b0c92-1d76-4e51-8478-a2e605df0a90,12,problema integración API externa,32,4,2025-08-19 01:15:41.707171917,863c9658-d006-4c50-b285-8aca79fcb24b,e-d1c53f77-5e28-4d00-a8dd-90a9374136de,10.344516038894653,True,slow,1,True,good,449,True,1,normal,low,1,,1,0,0,False,False,,False,initial_anonymous
session 05 P1 persistencia-506b635f-8394-4d57-b7bc-ae0a5f3e9a88.json,506b635f-8394-4d57-b7bc-ae0a5f3e9a88,1,"Hola, soy CUST_001 y tengo un error crítico: fallo de conexión a base de datos en sistema de facturación. Lleva 2 horas sin poder generar facturas y estoy muy frustrado.",169,30,2025-08-19 01:23:25.407143116,79f15cee-e19e-4666-b126-9cc32d27f4a8,e-92296b71-0a5a-4d32-9398-732be45c5bd9,7.790040969848633,True,slow,1,True,good,449,True,10,high,high,5,crítico,2,1,0,True,True,CUST_001,False,initial_with_id
session 05 P1 persistencia-506b635f-8394-4d57-b7bc-ae0a5f3e9a88.json,506b635f-8394-4d57-b7bc-ae0a5f3e9a88,2,"Entiendo, gracias, adios",24,3,2025-08-19 01:25:32.150532007,e167718f-ce5b-4b81-b58f-2c5675828e2d,e-361cde20-3e45-4524-8100-2fa12adb9d82,6.9717090129852295,True,slow,0,False,none,0,False,0,normal,low,0,,0,0,0,False,False,,False,initial_anonymous
session 05 P2 persistencia-91016382-6507-417d-8485-4f172aca7bba.json,91016382-6507-417d-8485-4f172aca7bba,1,"Hola, soy CUST_001. ¿Hay novedades sobre mi problema de conexión de base de datos que reporté anteriormente?",108,17,2025-08-19 01:27:48.261755943,c0e47d5a-f443-4ae0-a2ee-71d2bd714dbd,e-96aa07a1-f6c2-4700-b59d-ccd95c467af1,8.318441152572632,True,slow,1,True,good,449,True,1,normal,low,1,,1,0,0,False,True,CUST_001,True,followup
session 05 P2 persistencia-91016382-6507-417d-8485-4f172aca7bba.json,91016382-6507-417d-8485-4f172aca7bba,2,"Comprendo, pero quiero saber si entiendes el problema que tengo",63,10,2025-08-19 01:29:05.749954939,394cc5e1-79fa-4130-94d3-2fd7038b6cc8,e-d9f1022a-4c89-4784-ac8d-42935a4b9de8,6.598500967025757,True,slow,1,True,good,449,True,1,normal,low,1,,1,0,0,False,False,,False,initial_anonymous
session 05 P2 persistencia-91016382-6507-417d-8485-4f172aca7bba.json,91016382-6507-417d-8485-4f172aca7bba,3,"Ok, gracias",11,2,2025-08-19 01:29:39.693933964,49ced0b4-4c9c-4d80-a020-d650ff1402a8,e-a1da8ae6-5187-419d-9530-eac0304d738b,7.196392059326172,True,slow,0,False,none,0,False,0,normal,low,0,,0,0,0,False,False,,False,initial_anonymous
session 05 P2 persistencia-91016382-6507-417d-8485-4f172aca7bba.json,91016382-6507-417d-8485-4f172aca7bba,4,adios,5,1,2025-08-19 01:29:52.355756998,844768a0-3eab-4b83-b641-3a356ffed735,e-1252d5ad-bcf6-4d22-9f52-eccaf40ca1c5,6.392154932022095,True,slow,0,False,none,0,False,0,normal,low,0,,0,0,0,False,False,,False,initial_anonymous
